88;PT. BPD SULAWESI TENGGARA;Jl. May. Jend. Sutoyo No. 95, Kendari, Sulawesi Tenggara;;
89;CITIBANK, N.A.;Citibank Tower 7th Floor, Jl. Jend. Sudirman Kav. 54-55, Jakarta;;
90;JP MORGAN CHASE BANK, NA;Gedung The Energy Lt. 5 & 6, SCBD Lot 11A, JL. Jend. Sudirman Kav 52-53, Jakarta 12190;;
91;BANK OF AMERICA, N.A;Gedung Bursa Efek Jakarta, Tower 2, Lt 23, Jl. Sudirman Kav. 52-53, Jakarta;;
92;BANGKOK BANK PCL;Jl. MH. Thamrin No. 3, Jakarta;;
93;THE HONGKONG & SHANGHAI B.C, LTD;World Trade Center, Jl. Jend. Sudirman Kav. 29-31, Jakarta 12920;;
94;THE BANK OF TOKYO-MITSUBISHI UFJ LTD.;Mid Plaza Build Lt.1-3, Jl. Jend Sudirman Kav. 10-11, Jakarta 10227;;
95;STANDARD CHARTERED BANK;Menara Standard Chartered Bank, Jl. Prof. Dr. Satrio No. 164, Jakarta 12950;;
96;THE ROYAL BANK OF SCOTLAND N.V.;Gd BEJ Tower II Lt. 11, Jln Jend. Sudirman kav. 52-53 Jakarta 12190;;
97;DEUTSCHE BANK AG;Deutsche Bank Building, Jl. Imam Bonjol No. 80, Jakarta;;
98;BANK OF CHINA LIMITED;Wisma Tamara, Suite 101-201, Jl. Jend. Sudirman Kav. 24, Jakarta;;
